,airline_sentiment,name,text,tweet_created,tweet_location,user_timezone,hashtags,tags
9317,negative,Gregm528,usairways customer service recording says busy assist hangs great touch poorservice gma cbsnews,23/02/15 14:26,NY,Eastern Time (US & Canada),"['', 'poorservice']","['usairways', 'gma', 'cbsnews']"
9318,negative,Gregm528,usairways lack customer service shined need step get lost baggage delta return,23/02/15 14:25,NY,Eastern Time (US & Canada),[],['usairways']
9319,negative,ciaoholly,usairways operate flights without maintenance issues flights inout dca cancelled flighted getting old update fleet pls,23/02/15 14:23,NYC,,[],['usairways']
9320,negative,suetrio,usairways took away 1st class seat love chairman preferred assigned row 24 seat b middle seat,23/02/15 14:23,,,[],['usairways']
9321,negative,jasemccarty,usairways patience connecting flight need guys every time travel every single time,23/02/15 14:22,BTR/DCA/IAD/MSY - etc,Central Time (US & Canada),[],['usairways']
9322,negative,ElmiraBudMan,usairways plans changed u call bein able 2 park time planes w 2 hr layover n b able 2 make ur connection seriously,23/02/15 14:20,Does it really matter,,['seriously'],['usairways']
9323,negative,TheRachelBloom,usairways receipt conf thur flight call help literally hung bc wait times help,23/02/15 14:20,"Brooklyn, NY",Eastern Time (US & Canada),[''],['usairways']
9324,neutral,MBisTired,usairways practice give 1st class seats us air employees giving chairmans customers sitting coach,23/02/15 14:20,,,[],['usairways']
9325,positive,FahadHassan,usairways thank resolving issue direct flight sfo united,23/02/15 14:18,Washington D.C.,Eastern Time (US & Canada),[],"['usairways', 'united']"
9326,negative,eozonian,usairways would help flew bigger planes tlh team mates made training,23/02/15 14:18,TLH,,[],['usairways']
9327,positive,Danye33,usairways ok thanks,23/02/15 14:16,,Eastern Time (US & Canada),[],['usairways']
9328,negative,tjelke,usairways trying get plane phx rno gate saying flight downgraded,23/02/15 14:16,"Miami, Florida, USA",Eastern Time (US & Canada),[],['usairways']
9329,negative,acnewsguy,usairways put hold number loooooong time help lostandforgotten,23/02/15 14:14,"New Haven, CT",Mountain Time (US & Canada),['lostandforgotten'],['usairways']
9330,negative,amy_lombard,usairways never unpleasant travel experience life might get flight till tomorrow insane,23/02/15 14:10,"Brooklyn, NY",Eastern Time (US & Canada),[],['usairways']
9331,neutral,FahadHassan,usairways direct flights sfo leaving airport virginamerica united please put one,23/02/15 14:04,Washington D.C.,Eastern Time (US & Canada),[],"['usairways', 'virginamerica', 'united']"
9332,negative,jasemccarty,usairways awesome doors close 2 minutes flight leaves 17 minutes plane got wth,23/02/15 14:03,BTR/DCA/IAD/MSY - etc,Central Time (US & Canada),[],['usairways']
9333,positive,joyadventuremom,usairways ill check get airport thanks,23/02/15 14:03,,,[],['usairways']
9334,negative,FahadHassan,usairways ticket counter people helping want charge money even horrible day,23/02/15 14:03,Washington D.C.,Eastern Time (US & Canada),[],['usairways']
9335,negative,FahadHassan,usairways ha flight ctl delayed going miss connection please transfer another airline asap,23/02/15 14:02,Washington D.C.,Eastern Time (US & Canada),[],['usairways']
9336,positive,DanKolbet,usairways thanks reply good note pilot nailed landing seriously kudos,23/02/15 13:52,"Spokane, Washington",Pacific Time (US & Canada),[],['usairways']
9337,negative,FahadHassan,usairways 555 flight ctl catch 8pm flight sfo empty seats 415 flight wasnt offered awful service continues,23/02/15 13:49,Washington D.C.,Eastern Time (US & Canada),[],['usairways']
9338,negative,joshahamilton,usairways fly back charlotte different airport guys flexible like airlines,23/02/15 13:47,Cali native now in Charlotte,Quito,[],['usairways']
9339,negative,jasemccarty,usairways checked standby 1st class find list merger pain,23/02/15 13:44,BTR/DCA/IAD/MSY - etc,Central Time (US & Canada),[],['usairways']
9340,positive,laxer1215,usairways 4 great flights delays thank,23/02/15 13:42,,,[],['usairways']
9341,negative,Danye33,usairways hold 45 minutes better time call getting ridiculous,23/02/15 13:42,,Eastern Time (US & Canada),[],['usairways']
9342,negative,ashtongr8z,usairways exchangecredit policies worthless shadier white house dissatisfied nines right,23/02/15 13:32,,Alaska,[],['usairways']
9343,negative,joshahamilton,usairways honest question 1way ticket charlotte hub lax 2nd biggest city usa almost 600,23/02/15 13:31,Cali native now in Charlotte,Quito,[],['usairways']
9344,neutral,tjelke,usairways one downgrade flight,23/02/15 13:30,"Miami, Florida, USA",Eastern Time (US & Canada),[],['usairways']
9345,neutral,smaguire2,usairways im shutting data flight want response time land 2 hours,23/02/15 13:29,,Atlantic Time (Canada),[],['usairways']
9346,negative,ElmiraBudMan,usairways happened u couldnt get us home next day flydelta flysouthwest flyjetblue theyareallbetter stillnobags,23/02/15 13:29,Does it really matter,,"['flydelta', 'flysouthwest', 'flyjetblue', 'theyareallbetter', 'stillnobags']",['usairways']
9347,negative,Andyba25,usairways never fly usairways,23/02/15 13:26,South,,[],"['usairways', 'usairways']"
9348,negative,ElmiraBudMan,usairways exhaustion traveling n runnin thru airport tryin 2rent car n killin family anybody road,23/02/15 13:26,Does it really matter,,[],['usairways']
9349,negative,smaguire2,usairways offering give bag usually force passengers state shock,23/02/15 13:25,,Atlantic Time (Canada),[],['usairways']
9350,negative,smaguire2,usairways power trip felt completely threatened unsafe angry derrick bussey dca would like reiterate,23/02/15 13:25,,Atlantic Time (Canada),[],['usairways']
9351,negative,suetrio,usairways thank putting flight leaving late flightr original flight booked,23/02/15 13:24,,,[],['usairways']
9352,neutral,smaguire2,usairways would willing give benefit doubt say misunderstood went,23/02/15 13:23,,Atlantic Time (Canada),[],['usairways']
9353,positive,Jabis4,usairways look flying rocks time bird plane nah never mind rock,23/02/15 13:22,VT,Eastern Time (US & Canada),[],['usairways']
9354,neutral,ElmiraBudMan,usairways doesnt take account 450 cost 2 rent car 2 drive home,23/02/15 13:22,Does it really matter,,[],['usairways']
9355,negative,smaguire2,usairways even single unreasonable human planet earth excuse treatment,23/02/15 13:22,,Atlantic Time (Canada),[],['usairways']
9356,negative,smaguire2,usairways supposed business belong customers humiliating,23/02/15 13:22,,Atlantic Time (Canada),[],['usairways']
9357,negative,smaguire2,usairways way treat women want someone contact explain make acceptable,23/02/15 13:21,,Atlantic Time (Canada),[],['usairways']
9358,negative,smaguire2,usairways citizen fly airline constantly offended derrick bussey im crying airplane im upset,23/02/15 13:20,,Atlantic Time (Canada),[],['usairways']
9359,negative,eatmyshorts2263,usairways united really know leave someone stranded funeral props guys really making perfect monday,23/02/15 13:20,Carmen SanDiego,Eastern Time (US & Canada),[],"['usairways', 'united']"
9360,negative,ElmiraBudMan,usairways friend telling gate attendant stewardess going notourfaultyoudontuseyourgatesright,23/02/15 13:19,Does it really matter,,['notourfaultyoudontuseyourgatesright'],['usairways']
9361,neutral,NotClayManship,usairways allowed carry suit bag carry bag suit bag hang like jacket would soft sided 48,23/02/15 13:18,Indianapolis,Quito,[],['usairways']
9362,positive,KateDeLeal,usairways owes tammy winstonsalem call center keeping customer,23/02/15 13:17,,,[],['usairways']
9363,negative,smaguire2,usairways jetway felt disrespectful never treated way particularly trying good c,23/02/15 13:17,,Atlantic Time (Canada),[],['usairways']
9364,negative,smaguire2,usairways disrespect even begin explain issue women literally yelled pulled,23/02/15 13:16,,Atlantic Time (Canada),[],['usairways']
9365,negative,Taryn_Sunstrom,usairways happens isnt located,23/02/15 13:16,The Shire,Atlantic Time (Canada),[],['usairways']
9366,negative,smaguire2,usairways want speak someone immediately shaking rage offered hate check bag derrick bussey treated,23/02/15 13:15,,Atlantic Time (Canada),[],['usairways']
9367,neutral,charmellemaria,usairways 2500 bag fee golf bag domestic flight,23/02/15 13:15,"mclean, va",,[],['usairways']
9368,negative,ElmiraBudMan,usairways okay u 2 cancelled flight change flight good 4 u cant logistically figure 2 plane comes time,23/02/15 13:14,Does it really matter,,[],['usairways']
9369,negative,josebenegas,usairways thanks asked change cost desition nade computer late flight,23/02/15 13:12,,Buenos Aires,[],['usairways']
9370,neutral,DavidAlfieWard,usairways hi guys general enquires email address please thanks david,23/02/15 13:12,London UK & USA,,[],['usairways']
9371,negative,ElmiraBudMan,usairways actually cared would one thing sounds like dont like told lousy service,23/02/15 13:11,Does it really matter,,[],['usairways']
9372,negative,ElmiraBudMan,usairways idiots kept time plane tarmac hour forcing us 10 minutes,23/02/15 13:10,Does it really matter,,[],['usairways']
9373,negative,KateDeLeal,usairways cust svc let slip previous cust svc lied supervisors corporate ph 200 change 130 tix thx,23/02/15 13:07,,,[],['usairways']
9374,neutral,putajerseyon,usairways following,23/02/15 13:04,,Eastern Time (US & Canada),[],['usairways']
9375,neutral,putajerseyon,usairways sorry didnt realize wasnt following,23/02/15 12:58,,Eastern Time (US & Canada),[],['usairways']
9376,negative,TheVoiceofBrian,usairways please fix reservations phone system weatherbackup could possibly bad 10 days goodgriefpeople,23/02/15 12:57,YouTube.com/VOiceofBrian,Central Time (US & Canada),['goodgriefpeople'],['usairways']
9377,positive,farrellbone,usairways made thanks help,23/02/15 12:53,,,[],['usairways']
9378,positive,ShawnHFoster,usairways huge props parizad checkin sacramento help friday get 3 us home airlines delayed,23/02/15 12:51,,Central Time (US & Canada),[],['usairways']
9379,neutral,charmellemaria,usairways additional charge golf bag clubs shoes golf balls thats piece luggage check,23/02/15 12:46,"mclean, va",,[],['usairways']
9380,negative,Danye33,usairways flight voucherconfirmation code enter checkout page flight booking problems pls help,23/02/15 12:44,,Eastern Time (US & Canada),[],['usairways']
9381,negative,Jabis4,usairways 12 rock hit plane delay never easy day us airways ya never fail let,23/02/15 12:44,VT,Eastern Time (US & Canada),[],['usairways']
9382,negative,ElmiraBudMan,usairways fyi ill writing registered letters 2 ceo line 4 shameful treatment reactions got,23/02/15 12:44,Does it really matter,,[],['usairways']
9383,negative,Taryn_Sunstrom,usairways guys cancelled flightled two flights yesterday checked bag huntsville went missing philly,23/02/15 12:43,The Shire,Atlantic Time (Canada),[],['usairways']
9384,neutral,AshMichelle831,usairways apply ur credit card automatically get companion certificate wait,23/02/15 12:42,,Eastern Time (US & Canada),[],['usairways']
9385,negative,Bachelorsaurus,usairways customer service failure aside one would think guys would care inaccurate manifests im sure tsa would,23/02/15 12:40,"Arlington, VA",Quito,[],['usairways']
9386,negative,ElmiraBudMan,usairways find funny phlairport responds dont customer service worst wedontcarebecauseyoupaidalready,23/02/15 12:40,Does it really matter,,['wedontcarebecauseyoupaidalready'],"['usairways', 'phlairport']"
9387,negative,ElmiraBudMan,usairways get bs guy door says door closes 10 minutes backs yet know fact 5 people short,23/02/15 12:38,Does it really matter,,[],['usairways']
9388,negative,letyak,usairways flight rebooked want change seats upgrade 1st class help phones,23/02/15 12:38,"Philadelphia, PA",Eastern Time (US & Canada),[],['usairways']
9389,negative,joyadventuremom,usairways need speak customer service agent today 58pm unfortunate incident discrimination today,23/02/15 12:37,,,[],['usairways']
9390,negative,jessicadrew87,usairways cltdouglas slowest baggage claim ever,23/02/15 12:34,North Carolina,Eastern Time (US & Canada),[],"['usairways', 'cltdouglas']"
9391,negative,FahadHassan,usairways dont blame weather rep counter cost entire day weather printed boarding pass late flight takeresponsibility,23/02/15 12:33,Washington D.C.,Eastern Time (US & Canada),['takeresponsibility'],['usairways']
9392,negative,josebenegas,usairways late flight,23/02/15 12:29,,Buenos Aires,[],['usairways']
9393,negative,KingFilson,usairways delays due refueling control thats true never want fly us airways,23/02/15 12:25,,Central Time (US & Canada),[],['usairways']
9394,positive,redcat255,usairways americanair shout diane eyw helping get us home today instead tomorrow even little late flight,23/02/15 12:25,,Eastern Time (US & Canada),[],"['usairways', 'americanair']"
9395,positive,EmmaJLogue,usairways made huge relief thanks help,23/02/15 12:10,,Eastern Time (US & Canada),[],['usairways']
9396,negative,Little_BeerGirl,usairways getting us rest bags please received 2 5 help,23/02/15 12:08,"ÜT: 42.076557,-76.770488",Eastern Time (US & Canada),[],['usairways']
9397,negative,putajerseyon,usairways im trying get dads wheelchair one answering dulleswe tried call back onmultiple times,23/02/15 12:04,,Eastern Time (US & Canada),[],['usairways']
9398,neutral,DanielleWaugh,usairways 838 boarded waiting take hopefully,23/02/15 12:03,"Portland, Maine",Eastern Time (US & Canada),[],['usairways']
9399,positive,EmmaJLogue,usairways thanks hope maybe put good word,23/02/15 12:02,,Eastern Time (US & Canada),[],['usairways']
9400,negative,thomashoward88,usairways us 728feb 21 arrive 7 hrs late flight checked car seat missing replacement available yet arrive 24 hours late flightr,23/02/15 12:01,,,[],['usairways']
9401,negative,Taryn_Sunstrom,usairways guys lost luggage,23/02/15 12:00,The Shire,Atlantic Time (Canada),[],['usairways']
9402,negative,thomashoward88,usairways us 728feb 21 kim says leaving 15 minutes paperwork done wheels 15 hours late flightr,23/02/15 11:58,,,[],['usairways']
9403,negative,thomashoward88,usairways us 728feb 21 hour 6 plane us airways representative kim enters deteriorating picture unhelpful assurances,23/02/15 11:56,,,[],['usairways']
9404,negative,marvinatorsb,usairways marvinatorsb thnk responseall flights full couldnt get tmrw cancelled flight go wother airline,23/02/15 11:54,,,[],"['usairways', 'marvinatorsb']"
9405,negative,thomashoward88,usairways us 728feb 21 ground power shorts third time weary german passenger deplanes makes jealous auf wiedersehen,23/02/15 11:53,,,[],['usairways']
9406,neutral,thomashoward88,usairways us 728 refuel weve sat long pilot announces truck look left actual announcement,23/02/15 11:49,,,[],['usairways']
9407,negative,EATtoFUEL,usairways thanks bags 10 went wrong 22 hours dca san weather issues acceptable,23/02/15 11:49,VA,,[],['usairways']
9408,neutral,AnnaIntheCity,usairways americanair trying chg ticket staff member leaving org flywere nonprofitcant make exception,23/02/15 11:48,Northern Virginia,Eastern Time (US & Canada),[],"['usairways', 'americanair']"
9409,negative,_leekinney,usairways speak human need 2 find bag delayed 221 website 800 telling 2 different things got hung 2x,23/02/15 11:48,"Philadelphia, PA",Quito,[''],['usairways']
9410,negative,thomashoward88,usairways us 728 one water run planets smallest water bottles applaud looking environment,23/02/15 11:47,,,[],['usairways']
9411,negative,thomashoward88,usairways us 728 nope getting 3 hours plane 4 pilot announcements one water run planets smallest water bottles,23/02/15 11:46,,,[],['usairways']
9412,neutral,thomashoward88,usairways us 728 wait gate opened back go good maybe get,23/02/15 11:42,,,[],['usairways']
9413,negative,thomashoward88,usairways us 728 uh oh gate truck come us,23/02/15 11:41,,,[],['usairways']
9414,negative,thomashoward88,usairways us 728 returned gate get mel sticker oh look heard pilot clue mel sticker anyone,23/02/15 11:41,,,[],['usairways']
9415,negative,Jess_Yoga,usairways spent hour phone got,23/02/15 11:40,Wherever my breath takes me ,Atlantic Time (Canada),[],['usairways']
9416,negative,thomashoward88,usairways us 728 lost ground power three different times grounded endlessly without air lights entertainment,23/02/15 11:38,,,[],['usairways']
9417,negative,thomashoward88,usairways us 728 pilot started flight announcing arrival gatwick heathrow moments concern aboard,23/02/15 11:37,,,[],['usairways']
9418,negative,thomashoward88,usairways us 728 stated issues one around close said door strange hearing pilot long periods,23/02/15 11:36,,,[],['usairways']
9419,negative,ac_choplick,usairways seat 8d flight 545 last night worst seat ive ever leg room dividendsmember,23/02/15 11:35,,Hawaii,['dividendsmember'],['usairways']
9420,negative,Blasterjaxx,usairways one workers rude us tell dm cuz wont good publicity,23/02/15 11:34,TotalWorldJaxxination,,[],['usairways']
9421,negative,thomashoward88,usairways us 728 stated issues plane moving cargo door open plane umm ok little strange,23/02/15 11:34,,,[],['usairways']
9422,negative,KingFilson,usairways flight delayed missed connecting flight stuck philadelphia night hotel voucher thanks nothing,23/02/15 11:34,,Central Time (US & Canada),[],['usairways']
9423,neutral,thomashoward88,usairways us 728 stated issues kept plane ground allow connecting passengers flight board fine understand,23/02/15 11:33,,,[],['usairways']
9424,negative,BriRose16,usairways speak human compassion wrote email discuss experience received generic sorry email back,23/02/15 11:31,"Baltimore, MD ",,[],['usairways']
9425,negative,Bachelorsaurus,usairways take look 1715 f seats filled someone upgraded friend instead following rules,23/02/15 11:31,"Arlington, VA",Quito,[],['usairways']
9426,negative,FahadHassan,usairways back line terminal phone guy couldnt help one person front 20 min wait,23/02/15 11:27,Washington D.C.,Eastern Time (US & Canada),[],['usairways']
9427,negative,MediatorTerry,usairways understand im resorting twitter help available gate occurred phone afterward,23/02/15 11:25,,,[],['usairways']
9428,negative,EmmaJLogue,usairways going miss connection due another tarmac delay us5268 4050 need flight home today please,23/02/15 11:24,,Eastern Time (US & Canada),[],['usairways']
9429,negative,thomashoward88,usairways im expecting 400 reimbursement unprofessional decisions us728 21 feb check full complaint box,23/02/15 11:24,,,[],"['usairways,']"
9430,negative,EmmaJLogue,usairways whats deal flight 5268 dca phl boarded time left gate mins late flight sat tarmac,23/02/15 11:22,,Eastern Time (US & Canada),[],['usairways']
9431,negative,Mister617,usairways stranding student trying get birmingham clt overnight wo help better av_duffy,23/02/15 11:18,@Mister617 follows you,Quito,[],"['usairways', 'av_duffy']"
9432,negative,putajerseyon,usairways really need help asap please make quick thx,23/02/15 11:18,,Eastern Time (US & Canada),[],['usairways']
9433,negative,juliebartz,usairways well going help ivebeen hold 3 hrs client wants ff nbr record hes elite waa,23/02/15 11:18,Shawano WI,Central Time (US & Canada),[],['usairways']
9434,negative,putajerseyon,usairways hi lost fathers wheelchair every time call get voicemail dad needs go home please dm,23/02/15 11:16,,Eastern Time (US & Canada),[],['usairways']
9435,negative,B_Flight5508,usairways 4 segments 44 delayed gnv ctl ctl jan jan ctl ctl gnv year flying guys way go,23/02/15 11:16,,Eastern Time (US & Canada),[],['usairways']
9436,negative,KyleHanagami,usairways charging 200 take flight lol last time fly,23/02/15 11:15,"Los Angeles, CA",Pacific Time (US & Canada),[],['usairways']
9437,negative,johnhughesrocks,usairways yes says bag delivered local number says open asked main cust service got hung,23/02/15 11:14,,,[''],['usairways']
9438,negative,DanKolbet,usairways row 16 flight 634 today youre looking specifics run home depot wd40 need,23/02/15 11:14,"Spokane, Washington",Pacific Time (US & Canada),[],['usairways']
9439,negative,DanKolbet,usairways seriously buy wd40 a319 operating flight 634 geg phoenix every seat squeaks w every shift still ground,23/02/15 11:13,"Spokane, Washington",Pacific Time (US & Canada),[],['usairways']
9440,negative,FaknilO,usairways would happily wait terminal near food restrooms non irritated passengers,23/02/15 11:10,New Mexico,Mountain Time (US & Canada),[],['usairways']
9441,negative,FaknilO,usairways let passengers board issue hour pilot doesnt know well leave,23/02/15 11:08,New Mexico,Mountain Time (US & Canada),[],['usairways']
9442,negative,FahadHassan,usairways anyone help still hold,23/02/15 11:05,Washington D.C.,Eastern Time (US & Canada),[],['usairways']
9443,negative,Bachelorsaurus,usairways oh yay gate agents decide deal upgrade list bump whoever closest,23/02/15 11:04,"Arlington, VA",Quito,[],['usairways']
9444,negative,reverendvelvet,usairways site shows ontime flightaware site shows delayed trying decide get ice catch flt 456 phx,23/02/15 11:03,Houston TX,Mountain Time (US & Canada),[],['usairways']
9445,negative,Jess_Yoga,usairways absolute worst airline 13 women inconvenienced due maintenance issues stuck care given,23/02/15 11:03,Wherever my breath takes me ,Atlantic Time (Canada),[],['usairways']
9446,negative,aepleiss,usairways flights customer relations extremely disappointing faced many problems type apology25 towards flight joke,23/02/15 11:03,,,[],['usairways']
9447,negative,Whitncam,usairways sitting phl rude customer service agents,23/02/15 11:00,,,[],['usairways']
9448,negative,meganpberger,usairways americanair flight 415 get paperwork inputted taken hour sittingontheplane hungry,23/02/15 10:54,,Quito,"['415', 'sittingontheplane', 'hungry']","['usairways', 'americanair']"
9449,negative,FahadHassan,usairways hold customer care wonder someone pick phone 5pm,23/02/15 10:50,Washington D.C.,Eastern Time (US & Canada),[],['usairways']
9450,negative,jsjonker,usairways flt 445 get gate den 20 minutes waiting information,23/02/15 10:50,,,[],['usairways']
9451,negative,Bachelorsaurus,usairways lots fun removed top list manually readded bottom thanks club agents thanks lot asha dca,23/02/15 10:42,"Arlington, VA",Quito,[],['usairways']
9452,negative,RuthieSeale,usairways delayed flight wilmington made miss flight charlotte figure take arrive time,23/02/15 10:42,Aldie va,,[],['usairways']
9453,positive,Blasterjaxx,usairways wow unbelievable treat customers puerto rico airport,23/02/15 10:42,TotalWorldJaxxination,,[],['usairways']
9454,negative,Bachelorsaurus,usairways usually sorry doesnt involve moving people middle seats removing upgrade lists guess thats club perk,23/02/15 10:41,"Arlington, VA",Quito,[],['usairways']
9455,negative,nhbonedoc,usairways dont worry used initiative arriving much earlier planned,23/02/15 10:37,,,[],['usairways']
9456,negative,ecgetty,usairways nice try gate making traveler traveler put bags size guide oversold sorry minefits,23/02/15 10:35,"wilmington, nc",Eastern Time (US & Canada),['minefits'],['usairways']
9457,negative,marvinatorsb,usairways horrible service wrong plane arrived many confirmed passengers could get flight paid due lack seats flight,23/02/15 10:28,,,[],['usairways']
9458,neutral,athenatrigal,usairways trying book award travel leaving redeye sunday night midnight book date sunday monday,23/02/15 10:27,,Eastern Time (US & Canada),[],['usairways']
9459,negative,marvinatorsb,usairways booked flight 1mnth ago seat confirmed small plane arrived allowed board bcs seat horrible service,23/02/15 10:25,,,[],['usairways']
9460,negative,Ward1987M,usairways frustrated checked bag logan given luggage ticketnow luggage lost ownership usairways,23/02/15 10:24,,,[],"['usairways', 'usairways']"
9461,positive,electromail,usairways breathing heavily super helpful thank,23/02/15 10:14,Watching @Interpol somewhere,Amsterdam,[],['usairways']
9462,negative,electromail,usairways aye nothing automated system doesnt work properly anyway got somebody,23/02/15 10:14,Watching @Interpol somewhere,Amsterdam,[],['usairways']
9463,positive,lulainlife,usairways okay great thank,23/02/15 10:10,"Washington, DC",Eastern Time (US & Canada),[],['usairways']
9464,negative,nhbonedoc,usairways rebooked connection delayed,23/02/15 10:08,,,[],['usairways']
9465,negative,Andyba25,usairways meetings california luggage,23/02/15 10:08,South,,[],['usairways']
9466,negative,johnhughesrocks,usairways number agent gave call says open main number goes computer saying delivered,23/02/15 10:08,,,[],['usairways']
9467,negative,rapidtravelchai,usairways way get call center answer oneworld award whenever try system says busy disconnect endless hold,23/02/15 10:08,,Eastern Time (US & Canada),[],['usairways']
9468,negative,johnhughesrocks,usairways put luggage plane mine deliver like said show claim closed online,23/02/15 10:06,,,[],['usairways']
9469,negative,taleson2wheels,usairways takes money requires 7 10 days process refund auto attendant hang usairwaysfail,23/02/15 10:03,,,['usairwaysfail'],['usairways']
9470,negative,nhbonedoc,usairways long reply,23/02/15 10:03,,,[],['usairways']
9471,neutral,mrpearson3rd,usairways bag policy says stroller car seat need bring 2 car seats 1 stroller call details,23/02/15 9:58,,,[],['usairways']
9472,positive,FitzFrancis,usairways customer service like never seen kudos organization,23/02/15 9:53,,,[],['usairways']
9473,negative,jonbrownmusic,usairways intentionally buys flight 10 hour layover kind airline would charge 200 fix wow usairways,23/02/15 9:52,New Orleans,,['usairways'],['usairways']
9474,negative,UrbanPranaYoga,usairways get hold customer service ive called multiple times hold 30 mins hang,23/02/15 9:52,"Pittsburgh, PA",,[],['usairways']
9475,negative,MustSeeItAll_,usairways time bracket call fix problemive attempting fix contact information issue days,23/02/15 9:51,NYC // LI ,,[''],['usairways']
9476,negative,Andyba25,usairways called number said one available take callguys insane,23/02/15 9:47,South,,[],['usairways']
9477,negative,jhughes1025,usairways cant book flight online phone customer service usually great anything help,23/02/15 9:38,Washington DC,Alaska,[],[]
9478,negative,EdPlotts,usairways americanair worst experience ive ever flying rude delays cancelled flightlations lack updates wasting time,23/02/15 9:37,Philadelphia,Eastern Time (US & Canada),[],"['usairways', 'americanair']"
9479,neutral,CatieKriewald,usairways contact via fb messages twitter dm text,23/02/15 9:37,"Stillwater, MN",Central Time (US & Canada),[],['usairways']
9480,negative,CatieKriewald,usairways called 3x says high call volumes call back 1 minute international calls way someone contact,23/02/15 9:33,"Stillwater, MN",Central Time (US & Canada),[],['usairways']
9481,negative,Debbie_GBennett,usairways jhughes1025 grrrrrrrr couldnt book flight via calling either,23/02/15 9:26,Indianapolis,Indiana (East),[],"['usairways', 'jhughes1025']"
9482,negative,nhbonedoc,usairways delayed connection missed extended layover lounge pass phl 5077,23/02/15 9:26,,,['5077'],['usairways']
9483,negative,phillipfgo,usairways another twist plot took miami return due unsecured cargo door stressful vacation ever,23/02/15 9:25,"Cincinnati, OH",,[],['usairways']
9484,negative,JKlein126,usairways reaching hardworking mom trying best,23/02/15 9:24,,,[],['usairways']
9485,neutral,ColfaxCapital,usairways great operation guys running mechanical issues taping piece plane together lol,23/02/15 9:23,"39.0708° N, 106.9886° W",Quito,[],['usairways']
9486,neutral,jhughes1025,usairways thanks idea resolved id like purchase ticket,23/02/15 9:23,Washington DC,Alaska,[],['usairways']
9487,neutral,dtopler,usairways hi attach aa ff 94lxa62 reservation e2kvm4 thansk,23/02/15 9:23,"New York, NY",Eastern Time (US & Canada),[],['usairways']
9488,negative,bcruz1028,usairways check online states status closed mean yet able reach live person,23/02/15 9:20,,,[],['usairways']
9489,negative,electromail,usairways system affected weather,23/02/15 9:18,Watching @Interpol somewhere,Amsterdam,[],['usairways']
9490,positive,The_BlueAnchor,usairways called able get rescheduled thank quick responses today,23/02/15 9:18,"Dallas, TX",Central Time (US & Canada),[],['usairways']
9491,negative,juliebartz,usairways get aa frequent flyer number appear usair reservation frustrating,23/02/15 9:17,Shawano WI,Central Time (US & Canada),[],['usairways']
9492,negative,lulainlife,usairways im unable check flight 2119 bosdca havent heard flight cancelled flightedrescheduled updates,23/02/15 9:16,"Washington, DC",Eastern Time (US & Canada),[],['usairways']
9493,negative,mydulcebella,usairways americanair dont forget without customers would business epicfail usairwaysfail,23/02/15 9:12,Pennsylvania,Eastern Time (US & Canada),"['epicfail', 'usairwaysfail']","['usairways', 'americanair']"
9494,neutral,therealcharlie,usairways hi guys flights 5594 3937 still time site app cant check thanks,23/02/15 9:11,"Melbourne, Australia",Sydney,[],['usairways']
9495,negative,MeeestarCoke,usairways americanair hey since fed wknd day pass admirals club meal coupon free coke blank stare,23/02/15 9:06,BK,,[],"['usairways', 'americanair']"
9496,negative,daknadler,usairways make reservation well make excuses usairwaysfail,23/02/15 9:05,Jacksonville,Eastern Time (US & Canada),['usairwaysfail'],['usairways']
9497,negative,Andyba25,usairways listed baggage claim number call number ticket use lady speed stick morning,23/02/15 9:05,South,,[],['usairways']
9498,negative,acnewsguy,usairways another dead end handle aa lf gave failed already 610362749899 vm full lost,23/02/15 9:04,"New Haven, CT",Mountain Time (US & Canada),"['', 'lost']",['usairways']
9499,negative,mydulcebella,usairways houston gate 17 customer service needs treat people respect hardly people waiting chillpill usairwaysfail,23/02/15 9:04,Pennsylvania,Eastern Time (US & Canada),"['chillpill', 'usairwaysfail']",['usairways']
9500,positive,steve_muns,usairways phone called 6170 number picked almost immediately,23/02/15 9:00,"Washington, DC",Eastern Time (US & Canada),[],['usairways']
9501,neutral,HutchinsJim,usairways hutchinsjim yes made flight got workout,23/02/15 8:56,"Carmel, IN",Atlantic Time (Canada),[],"['usairways', 'hutchinsjim']"
9502,positive,The_BlueAnchor,usairways 603 2705 dfw psp thank,23/02/15 8:55,"Dallas, TX",Central Time (US & Canada),[],['usairways']
9503,positive,ChrisClark09,usairways 1899 thanks,23/02/15 8:51,Mentor/Columbus,Eastern Time (US & Canada),[],['usairways']
9504,negative,cookyvonne,usairways whats going website mobile app help,23/02/15 8:44,,,[],['usairways']
9505,negative,MediatorTerry,usairways submitted customer relations form await response,23/02/15 8:41,,,[],['usairways']
9506,negative,electromail,usairways height rudeness without question worst customer service ever experienced,23/02/15 8:41,Watching @Interpol somewhere,Amsterdam,[],['usairways']
9507,negative,electromail,usairways need speak somebody reservation talk human yet computer system puts phone,23/02/15 8:40,Watching @Interpol somewhere,Amsterdam,[],['usairways']
9508,neutral,mattiasskovhoej,usairways pick phone,23/02/15 8:38,Danmark,Copenhagen,[],['usairways']
9509,negative,daknadler,usairways premier provider missed connections usairwaysfail,23/02/15 8:38,Jacksonville,Eastern Time (US & Canada),['usairwaysfail'],['usairways']
